diagnosis,recommended_drugs
Acute stress disorder - agitated behavior,"Clonazepam, Propranolol, Hydroxyzine"
brief psychotic,"Haloperidol, Risperidone, Olanzapine"
acute exacerbation of restless legs syndrome,"Pramipexole, Ropinirole, Gabapentin"
Tourette's disorder - suicidal ideation present,"Haloperidol, Pimozide, Clonidine"
"borderline personality disorder, mood swings reported","Lamotrigine, Aripiprazole, Fluoxetine"
DSM-5 Diagnosis: Schizotypal personality disorder,"Risperidone, Olanzapine, Haloperidol"
Acute stress disorder,"Clonazepam, Propranolol, Hydroxyzine"
"Bipolar I disorder, depressed episode - poor sleep quality","Lurasidone, Quetiapine, Lamotrigine"
severe narcolepsy,"Modafinil, Armodafinil, Sodium oxybate"
Acute exacerbation of Hoarding disorder,"Venlafaxine, Paroxetine, Sertraline"
"major depressive disorder, recurrent, agitated behavior","Venlafaxine, Duloxetine, Bupropion"
Nervousness or severe stress - first psychotic episode,"Hydroxyzine, Buspirone, Propranolol"
Delusional disorder - resistant to therapy,"Aripiprazole, Risperidone, Pimozide"
Suspected Adjustment disorder with depressed mood,"Escitalopram, Sertraline, Bupropion"
"obsessive-compulsive disorder, cognitive decline","Fluvoxamine, Clomipramine, Fluoxetine"
Social anxiety disorder - requires hospitalization,"Sertraline, Propranolol, Venlafaxine"
"schizophrenia, unspecified, agitated behavior","Risperidone, Olanzapine, Aripiprazole"
patient presents with generalized anxiety disorder,"Sertraline, Buspirone, Venlafaxine"
Opioid dependence - high anxiety levels,"Buprenorphine, Naltrexone, Methadone"
Assessment: Restless legs syndrome,"Pramipexole, Ropinirole, Gabapentin"
Assessment: Post-traumatic stress disorder (PTSD),"Sertraline, Paroxetine, Prazosin"
"acute exacerbation of bipolar i disorder, manic episode","Lithium, Valproate, Quetiapine"
"history of bipolar i disorder, manic episode","Lithium, Valproate, Quetiapine"
Post-traumatic stress disorder (PTSD) - cognitive decline,"Sertraline, Paroxetine, Prazosin"
body dysmorphic,"Sertraline, Fluoxetine, Escitalopram"
Chronic Brief psychotic disorder,"Haloperidol, Risperidone, Olanzapine"
"bipolar ii disorder, resistant to therapy","Lamotrigine, Lithium, Quetiapine"
Persistent depressive disorder (Dysthymia),"Citalopram, Sertraline, Mirtazapine"
Schizoaffective disorder,"Paliperidone, Clozapine, Haloperidol"
Body dysmorphic disorder - compliant with meds,"Sertraline, Fluoxetine, Escitalopram"
Acute stress,"Clonazepam, Propranolol, Hydroxyzine"
Obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
High risk of Generalized anxiety disorder,"Sertraline, Buspirone, Venlafaxine"
Body dysmorphic disorder - compliant with meds,"Sertraline, Fluoxetine, Escitalopram"
Alcohol dependence,"Naltrexone, Acamprosate, Disulfiram"
"social anxiety disorder, suicidal ideation present","Sertraline, Propranolol, Venlafaxine"
confirmed alcohol dependence,"Naltrexone, Acamprosate, Disulfiram"
"social anxiety disorder, outpatient follow-up","Sertraline, Propranolol, Venlafaxine"
High risk of Panic disorder,"Alprazolam, Clonazepam, Paroxetine"
dsm-5 diagnosis: generalized anxiety disorder,"Sertraline, Buspirone, Venlafaxine"
"bulimia nervosa, cognitive decline","Fluoxetine, Topiramate, Sertraline"
Assessment: Social anxiety disorder,"Sertraline, Propranolol, Venlafaxine"
acute exacerbation of nervousness or severe stress,"Hydroxyzine, Buspirone, Propranolol"
Alcohol withdrawal syndrome - poor sleep quality,"Chlordiazepoxide, Diazepam, Lorazepam"
"schizoaffective disorder, resistant to therapy","Paliperidone, Clozapine, Haloperidol"
bulimia nervosa,"Fluoxetine, Topiramate, Sertraline"
"bipolar ii disorder, suicidal ideation present","Lamotrigine, Lithium, Quetiapine"
Acute exacerbation of Autism spectrum disorder (irritability),"Risperidone, Aripiprazole, Guanfacine"
patient presents with obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
suspected adjustment disorder with depressed mood,"Escitalopram, Sertraline, Bupropion"
Opioid withdrawal - compliant with meds,"Buprenorphine, Methadone, Clonidine"
"body dysmorphic disorder, resistant to therapy","Sertraline, Fluoxetine, Escitalopram"
Delusional disorder - suicidal ideation present,"Aripiprazole, Risperidone, Pimozide"
Confirmed Opioid dependence,"Buprenorphine, Naltrexone, Methadone"
"major depressive disorder, recurrent, first psychotic episode","Venlafaxine, Duloxetine, Bupropion"
"Bipolar I disorder, depressed episode - worsening symptoms","Lurasidone, Quetiapine, Lamotrigine"
"nervousness or severe stress, poor sleep quality","Hydroxyzine, Buspirone, Propranolol"
"acute stress disorder, suicidal ideation present","Clonazepam, Propranolol, Hydroxyzine"
Mild Post-traumatic stress disorder (PTSD),"Sertraline, Paroxetine, Prazosin"
Cyclothymic disorder,"Valproate, Lithium, Lamotrigine"
DSM-5 Diagnosis: Binge-eating disorder,"Lisdexamfetamine, Topiramate, Fluoxetine"
assessment: cyclothymic disorder,"Valproate, Lithium, Lamotrigine"
Chronic Opioid withdrawal,"Buprenorphine, Methadone, Clonidine"
Social anxiety disorder - high anxiety levels,"Sertraline, Propranolol, Venlafaxine"
"schizotypal personality disorder, needs dosage adjustment","Risperidone, Olanzapine, Haloperidol"
Chronic Nervousness or severe stress,"Hydroxyzine, Buspirone, Propranolol"
"schizotypal personality disorder, mood swings reported","Risperidone, Olanzapine, Haloperidol"
"adjustment disorder with depressed mood, requires hospitalization","Escitalopram, Sertraline, Bupropion"
"cyclothymic disorder, experiencing hallucinations","Valproate, Lithium, Lamotrigine"
adjustment disorder,"Escitalopram, Sertraline, Bupropion"
Social anxiety disorder - requires hospitalization,"Sertraline, Propranolol, Venlafaxine"
"Acute exacerbation of Major depressive disorder, single episode","Sertraline, Fluoxetine, Escitalopram"
"anorexia nervosa, worsening symptoms","Olanzapine, Fluoxetine, Mirtazapine"
Primary insomnia - needs dosage adjustment,"Zolpidem, Eszopiclone, Trazodone"
dsm-5 diagnosis: bipolar ii disorder,"Lamotrigine, Lithium, Quetiapine"
Persistent depressive,"Citalopram, Sertraline, Mirtazapine"
Opioid dependence - outpatient follow-up,"Buprenorphine, Naltrexone, Methadone"
assessment: obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
"alcohol withdrawal syndrome, high anxiety levels","Chlordiazepoxide, Diazepam, Lorazepam"
assessment: social anxiety disorder,"Sertraline, Propranolol, Venlafaxine"
"cyclothymic disorder, requires hospitalization","Valproate, Lithium, Lamotrigine"
Suspected Opioid withdrawal,"Buprenorphine, Methadone, Clonidine"
mild seasonal affective disorder,"Bupropion, Fluoxetine, Sertraline"
suspected tourette's disorder,"Haloperidol, Pimozide, Clonidine"
Suspected Nervousness or severe stress,"Hydroxyzine, Buspirone, Propranolol"
Social anxiety disorder - outpatient follow-up,"Sertraline, Propranolol, Venlafaxine"
assessment: opioid dependence,"Buprenorphine, Naltrexone, Methadone"
Assessment: Schizoaffective disorder,"Paliperidone, Clozapine, Haloperidol"
Obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
chronic bulimia nervosa,"Fluoxetine, Topiramate, Sertraline"
generalized anxiety disorder,"Sertraline, Buspirone, Venlafaxine"
"bipolar i disorder, manic episode","Lithium, Valproate, Quetiapine"
"major depressive disorder, single episode, mood swings reported","Sertraline, Fluoxetine, Escitalopram"
"primary insomnia, cognitive decline","Zolpidem, Eszopiclone, Trazodone"
"bipolar i disorder, manic episode, first psychotic episode","Lithium, Valproate, Quetiapine"
delusional disorder,"Aripiprazole, Risperidone, Pimozide"
Generalized anxiety,"Sertraline, Buspirone, Venlafaxine"
Tourette's disorder,"Haloperidol, Pimozide, Clonidine"
confirmed bipolar ii disorder,"Lamotrigine, Lithium, Quetiapine"
Schizotypal personality,"Risperidone, Olanzapine, Haloperidol"
Hoarding disorder - experiencing hallucinations,"Venlafaxine, Paroxetine, Sertraline"
"Bipolar I disorder, manic episode - outpatient follow-up","Lithium, Valproate, Quetiapine"
"alcohol withdrawal syndrome, outpatient follow-up","Chlordiazepoxide, Diazepam, Lorazepam"
"adjustment disorder with depressed mood, cognitive decline","Escitalopram, Sertraline, Bupropion"
History of Schizoaffective disorder,"Paliperidone, Clozapine, Haloperidol"
"agoraphobia, experiencing hallucinations","Paroxetine, Sertraline, Fluoxetine"
high risk of alcohol withdrawal syndrome,"Chlordiazepoxide, Diazepam, Lorazepam"
"schizophrenia, unspecified, patient stable","Risperidone, Olanzapine, Aripiprazole"
Persistent depressive,"Citalopram, Sertraline, Mirtazapine"
Social anxiety disorder - suicidal ideation present,"Sertraline, Propranolol, Venlafaxine"
"Major depressive disorder, single episode - resistant to therapy","Sertraline, Fluoxetine, Escitalopram"
Confirmed Seasonal affective disorder,"Bupropion, Fluoxetine, Sertraline"
"mild bipolar i disorder, depressed episode","Lurasidone, Quetiapine, Lamotrigine"
Acute exacerbation of Opioid withdrawal,"Buprenorphine, Methadone, Clonidine"
Hoarding disorder,"Venlafaxine, Paroxetine, Sertraline"
seasonal affective disorder,"Bupropion, Fluoxetine, Sertraline"
Opioid dependence - resistant to therapy,"Buprenorphine, Naltrexone, Methadone"
Primary insomnia - requires hospitalization,"Zolpidem, Eszopiclone, Trazodone"
Social anxiety disorder - cognitive decline,"Sertraline, Propranolol, Venlafaxine"
mild alcohol dependence,"Naltrexone, Acamprosate, Disulfiram"
"persistent depressive disorder (dysthymia), cognitive decline","Citalopram, Sertraline, Mirtazapine"
Nervousness or severe stress - compliant with meds,"Hydroxyzine, Buspirone, Propranolol"
patient presents with delusional disorder,"Aripiprazole, Risperidone, Pimozide"
Schizotypal personality disorder - needs dosage adjustment,"Risperidone, Olanzapine, Haloperidol"
"High risk of Bipolar I disorder, depressed episode","Lurasidone, Quetiapine, Lamotrigine"
"suspected major depressive disorder, recurrent","Venlafaxine, Duloxetine, Bupropion"
Confirmed Opioid dependence,"Buprenorphine, Naltrexone, Methadone"
Opioid dependence - cognitive decline,"Buprenorphine, Naltrexone, Methadone"
Social anxiety disorder - mood swings reported,"Sertraline, Propranolol, Venlafaxine"
Acute stress disorder - first psychotic episode,"Clonazepam, Propranolol, Hydroxyzine"
"History of Major depressive disorder, recurrent","Venlafaxine, Duloxetine, Bupropion"
Mild Primary insomnia,"Zolpidem, Eszopiclone, Trazodone"
Chronic Nicotine dependence,"Varenicline, Bupropion, Nicotine patch"
Binge-eating disorder - mood swings reported,"Lisdexamfetamine, Topiramate, Fluoxetine"
Brief psychotic disorder,"Haloperidol, Risperidone, Olanzapine"
"schizophrenia, unspecified, compliant with meds","Risperidone, Olanzapine, Aripiprazole"
DSM-5 Diagnosis: Primary insomnia,"Zolpidem, Eszopiclone, Trazodone"
Cyclothymic disorder,"Valproate, Lithium, Lamotrigine"
"bipolar ii disorder, poor sleep quality","Lamotrigine, Lithium, Quetiapine"
dsm-5 diagnosis: cyclothymic disorder,"Valproate, Lithium, Lamotrigine"
Post-traumatic stress disorder (PTSD) - first psychotic episode,"Sertraline, Paroxetine, Prazosin"
suspected social anxiety disorder,"Sertraline, Propranolol, Venlafaxine"
assessment: nicotine dependence,"Varenicline, Bupropion, Nicotine patch"
Schizotypal personality disorder,"Risperidone, Olanzapine, Haloperidol"
"hoarding disorder, high anxiety levels","Venlafaxine, Paroxetine, Sertraline"
"persistent depressive disorder (dysthymia), high anxiety levels","Citalopram, Sertraline, Mirtazapine"
Mild Body dysmorphic disorder,"Sertraline, Fluoxetine, Escitalopram"
Confirmed Borderline personality disorder,"Lamotrigine, Aripiprazole, Fluoxetine"
"delusional disorder, first psychotic episode","Aripiprazole, Risperidone, Pimozide"
bipolar i,"Lurasidone, Quetiapine, Lamotrigine"
acute exacerbation of agoraphobia,"Paroxetine, Sertraline, Fluoxetine"
Obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
chronic cyclothymic disorder,"Valproate, Lithium, Lamotrigine"
Nervousness or severe stress - agitated behavior,"Hydroxyzine, Buspirone, Propranolol"
Confirmed Alcohol dependence,"Naltrexone, Acamprosate, Disulfiram"
Bipolar II disorder - high anxiety levels,"Lamotrigine, Lithium, Quetiapine"
Assessment: Schizoaffective disorder,"Paliperidone, Clozapine, Haloperidol"
Binge-eating disorder,"Lisdexamfetamine, Topiramate, Fluoxetine"
high risk of persistent depressive disorder (dysthymia),"Citalopram, Sertraline, Mirtazapine"
"High risk of Bipolar I disorder, depressed episode","Lurasidone, Quetiapine, Lamotrigine"
Borderline personality,"Lamotrigine, Aripiprazole, Fluoxetine"
"Major depressive disorder, single episode","Sertraline, Fluoxetine, Escitalopram"
Body dysmorphic,"Sertraline, Fluoxetine, Escitalopram"
Opioid dependence - poor sleep quality,"Buprenorphine, Naltrexone, Methadone"
"obsessive-compulsive disorder, first psychotic episode","Fluvoxamine, Clomipramine, Fluoxetine"
tourette's disorder,"Haloperidol, Pimozide, Clonidine"
"bipolar i disorder, depressed episode, mood swings reported","Lurasidone, Quetiapine, Lamotrigine"
"nervousness or severe stress, first psychotic episode","Hydroxyzine, Buspirone, Propranolol"
Body dysmorphic disorder - agitated behavior,"Sertraline, Fluoxetine, Escitalopram"
Delusional disorder,"Aripiprazole, Risperidone, Pimozide"
persistent depressive,"Citalopram, Sertraline, Mirtazapine"
"narcolepsy, requires hospitalization","Modafinil, Armodafinil, Sodium oxybate"
Anorexia nervosa,"Olanzapine, Fluoxetine, Mirtazapine"
Adjustment disorder with depressed mood - first psychotic episode,"Escitalopram, Sertraline, Bupropion"
delusional disorder,"Aripiprazole, Risperidone, Pimozide"
assessment: anorexia nervosa,"Olanzapine, Fluoxetine, Mirtazapine"
dsm-5 diagnosis: adjustment disorder with depressed mood,"Escitalopram, Sertraline, Bupropion"
Tourette's disorder - experiencing hallucinations,"Haloperidol, Pimozide, Clonidine"
Chronic Delusional disorder,"Aripiprazole, Risperidone, Pimozide"
hoarding disorder,"Venlafaxine, Paroxetine, Sertraline"
"opioid dependence, mood swings reported","Buprenorphine, Naltrexone, Methadone"
Acute exacerbation of Adjustment disorder with depressed mood,"Escitalopram, Sertraline, Bupropion"
History of Post-traumatic stress disorder (PTSD),"Sertraline, Paroxetine, Prazosin"
binge-eating disorder,"Lisdexamfetamine, Topiramate, Fluoxetine"
"Chronic Bipolar I disorder, depressed episode","Lurasidone, Quetiapine, Lamotrigine"
"bipolar ii disorder, needs dosage adjustment","Lamotrigine, Lithium, Quetiapine"
history of acute stress disorder,"Clonazepam, Propranolol, Hydroxyzine"
Suspected Hoarding disorder,"Venlafaxine, Paroxetine, Sertraline"
patient presents with opioid withdrawal,"Buprenorphine, Methadone, Clonidine"
suspected panic disorder,"Alprazolam, Clonazepam, Paroxetine"
brief psychotic,"Haloperidol, Risperidone, Olanzapine"
Adjustment disorder with depressed mood,"Escitalopram, Sertraline, Bupropion"
Chronic Schizoaffective disorder,"Paliperidone, Clozapine, Haloperidol"
"History of Schizophrenia, unspecified","Risperidone, Olanzapine, Aripiprazole"
"high risk of schizophrenia, unspecified","Risperidone, Olanzapine, Aripiprazole"
Acute exacerbation of Opioid withdrawal,"Buprenorphine, Methadone, Clonidine"
Chronic Narcolepsy,"Modafinil, Armodafinil, Sodium oxybate"
"cyclothymic disorder, requires hospitalization","Valproate, Lithium, Lamotrigine"
"autism spectrum disorder (irritability), cognitive decline","Risperidone, Aripiprazole, Guanfacine"
Chronic Social anxiety disorder,"Sertraline, Propranolol, Venlafaxine"
"patient presents with bipolar i disorder, depressed episode","Lurasidone, Quetiapine, Lamotrigine"
DSM-5 Diagnosis: Body dysmorphic disorder,"Sertraline, Fluoxetine, Escitalopram"
Binge-eating disorder - compliant with meds,"Lisdexamfetamine, Topiramate, Fluoxetine"
patient presents with narcolepsy,"Modafinil, Armodafinil, Sodium oxybate"
"Acute exacerbation of Major depressive disorder, recurrent","Venlafaxine, Duloxetine, Bupropion"
"acute stress disorder, mood swings reported","Clonazepam, Propranolol, Hydroxyzine"
"persistent depressive disorder (dysthymia), suicidal ideation present","Citalopram, Sertraline, Mirtazapine"
Body dysmorphic,"Sertraline, Fluoxetine, Escitalopram"
panic disorder,"Alprazolam, Clonazepam, Paroxetine"
Cyclothymic disorder - patient stable,"Valproate, Lithium, Lamotrigine"
"bulimia nervosa, resistant to therapy","Fluoxetine, Topiramate, Sertraline"
Seasonal affective disorder - poor sleep quality,"Bupropion, Fluoxetine, Sertraline"
dsm-5 diagnosis: acute stress disorder,"Clonazepam, Propranolol, Hydroxyzine"
delusional disorder,"Aripiprazole, Risperidone, Pimozide"
"patient presents with major depressive disorder, single episode","Sertraline, Fluoxetine, Escitalopram"
Assessment: Schizotypal personality disorder,"Risperidone, Olanzapine, Haloperidol"
"Assessment: Major depressive disorder, recurrent","Venlafaxine, Duloxetine, Bupropion"
schizoaffective disorder,"Paliperidone, Clozapine, Haloperidol"
"borderline personality disorder, needs dosage adjustment","Lamotrigine, Aripiprazole, Fluoxetine"
Chronic Nicotine dependence,"Varenicline, Bupropion, Nicotine patch"
"major depressive disorder, recurrent, experiencing hallucinations","Venlafaxine, Duloxetine, Bupropion"
Restless legs syndrome - experiencing hallucinations,"Pramipexole, Ropinirole, Gabapentin"
Patient presents with Tourette's disorder,"Haloperidol, Pimozide, Clonidine"
Autism spectrum disorder (irritability) - needs dosage adjustment,"Risperidone, Aripiprazole, Guanfacine"
Assessment: Autism spectrum disorder (irritability),"Risperidone, Aripiprazole, Guanfacine"
DSM-5 Diagnosis: Opioid dependence,"Buprenorphine, Naltrexone, Methadone"
Body dysmorphic disorder - requires hospitalization,"Sertraline, Fluoxetine, Escitalopram"
confirmed generalized anxiety disorder,"Sertraline, Buspirone, Venlafaxine"
Restless legs syndrome - resistant to therapy,"Pramipexole, Ropinirole, Gabapentin"
"hoarding disorder, high anxiety levels","Venlafaxine, Paroxetine, Sertraline"
Social anxiety disorder - agitated behavior,"Sertraline, Propranolol, Venlafaxine"
Panic disorder,"Alprazolam, Clonazepam, Paroxetine"
Primary insomnia - resistant to therapy,"Zolpidem, Eszopiclone, Trazodone"
"alcohol dependence, mood swings reported","Naltrexone, Acamprosate, Disulfiram"
history of borderline personality disorder,"Lamotrigine, Aripiprazole, Fluoxetine"
Mild Nervousness or severe stress,"Hydroxyzine, Buspirone, Propranolol"
"Confirmed Major depressive disorder, recurrent","Venlafaxine, Duloxetine, Bupropion"
Suspected Brief psychotic disorder,"Haloperidol, Risperidone, Olanzapine"
"seasonal affective disorder, patient stable","Bupropion, Fluoxetine, Sertraline"
assessment: obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
Persistent depressive disorder (Dysthymia) - agitated behavior,"Citalopram, Sertraline, Mirtazapine"
"bulimia nervosa, poor sleep quality","Fluoxetine, Topiramate, Sertraline"
"bipolar i disorder, depressed episode, patient stable","Lurasidone, Quetiapine, Lamotrigine"
narcolepsy,"Modafinil, Armodafinil, Sodium oxybate"
"bipolar i disorder, manic episode, compliant with meds","Lithium, Valproate, Quetiapine"
Opioid withdrawal - resistant to therapy,"Buprenorphine, Methadone, Clonidine"
Patient presents with Alcohol dependence,"Naltrexone, Acamprosate, Disulfiram"
Opioid dependence - experiencing hallucinations,"Buprenorphine, Naltrexone, Methadone"
Suspected Cyclothymic disorder,"Valproate, Lithium, Lamotrigine"
confirmed obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
chronic obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
Autism spectrum disorder (irritability) - resistant to therapy,"Risperidone, Aripiprazole, Guanfacine"
Alcohol dependence - suicidal ideation present,"Naltrexone, Acamprosate, Disulfiram"
Brief psychotic,"Haloperidol, Risperidone, Olanzapine"
Autism spectrum disorder (irritability) - outpatient follow-up,"Risperidone, Aripiprazole, Guanfacine"
Hoarding disorder - needs dosage adjustment,"Venlafaxine, Paroxetine, Sertraline"
"Bipolar I disorder, depressed episode - outpatient follow-up","Lurasidone, Quetiapine, Lamotrigine"
high risk of autism spectrum disorder (irritability),"Risperidone, Aripiprazole, Guanfacine"
Opioid withdrawal - mood swings reported,"Buprenorphine, Methadone, Clonidine"
history of alcohol dependence,"Naltrexone, Acamprosate, Disulfiram"
"binge-eating disorder, patient stable","Lisdexamfetamine, Topiramate, Fluoxetine"
Binge-eating disorder,"Lisdexamfetamine, Topiramate, Fluoxetine"
Anorexia nervosa - agitated behavior,"Olanzapine, Fluoxetine, Mirtazapine"
Agoraphobia - outpatient follow-up,"Paroxetine, Sertraline, Fluoxetine"
acute exacerbation of post-traumatic stress disorder (ptsd),"Sertraline, Paroxetine, Prazosin"
DSM-5 Diagnosis: Post-traumatic stress disorder (PTSD),"Sertraline, Paroxetine, Prazosin"
Anorexia nervosa - suicidal ideation present,"Olanzapine, Fluoxetine, Mirtazapine"
"nervousness or severe stress, outpatient follow-up","Hydroxyzine, Buspirone, Propranolol"
severe anorexia nervosa,"Olanzapine, Fluoxetine, Mirtazapine"
Severe Obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
Patient presents with Cyclothymic disorder,"Valproate, Lithium, Lamotrigine"
Obsessive-compulsive disorder - suicidal ideation present,"Fluvoxamine, Clomipramine, Fluoxetine"
"bipolar i disorder, depressed episode, resistant to therapy","Lurasidone, Quetiapine, Lamotrigine"
"Patient presents with Schizophrenia, unspecified","Risperidone, Olanzapine, Aripiprazole"
Acute exacerbation of Brief psychotic disorder,"Haloperidol, Risperidone, Olanzapine"
patient presents with bulimia nervosa,"Fluoxetine, Topiramate, Sertraline"
Mild Borderline personality disorder,"Lamotrigine, Aripiprazole, Fluoxetine"
"autism spectrum disorder (irritability), high anxiety levels","Risperidone, Aripiprazole, Guanfacine"
suspected nervousness or severe stress,"Hydroxyzine, Buspirone, Propranolol"
"bipolar ii disorder, agitated behavior","Lamotrigine, Lithium, Quetiapine"
"binge-eating disorder, mood swings reported","Lisdexamfetamine, Topiramate, Fluoxetine"
"agoraphobia, mood swings reported","Paroxetine, Sertraline, Fluoxetine"
Delusional disorder - poor sleep quality,"Aripiprazole, Risperidone, Pimozide"
DSM-5 Diagnosis: Social anxiety disorder,"Sertraline, Propranolol, Venlafaxine"
Agoraphobia - patient stable,"Paroxetine, Sertraline, Fluoxetine"
Nervousness or severe stress - first psychotic episode,"Hydroxyzine, Buspirone, Propranolol"
"schizotypal personality disorder, mood swings reported","Risperidone, Olanzapine, Haloperidol"
"social anxiety disorder, mood swings reported","Sertraline, Propranolol, Venlafaxine"
acute exacerbation of bipolar ii disorder,"Lamotrigine, Lithium, Quetiapine"
dsm-5 diagnosis: acute stress disorder,"Clonazepam, Propranolol, Hydroxyzine"
Primary insomnia - poor sleep quality,"Zolpidem, Eszopiclone, Trazodone"
brief psychotic disorder,"Haloperidol, Risperidone, Olanzapine"
"nervousness or severe stress, cognitive decline","Hydroxyzine, Buspirone, Propranolol"
Chronic Alcohol withdrawal syndrome,"Chlordiazepoxide, Diazepam, Lorazepam"
"alcohol withdrawal syndrome, patient stable","Chlordiazepoxide, Diazepam, Lorazepam"
Severe Opioid withdrawal,"Buprenorphine, Methadone, Clonidine"
dsm-5 diagnosis: cyclothymic disorder,"Valproate, Lithium, Lamotrigine"
Binge-eating disorder,"Lisdexamfetamine, Topiramate, Fluoxetine"
schizotypal personality disorder,"Risperidone, Olanzapine, Haloperidol"
"delusional disorder, cognitive decline","Aripiprazole, Risperidone, Pimozide"
"cyclothymic disorder, outpatient follow-up","Valproate, Lithium, Lamotrigine"
Suspected Brief psychotic disorder,"Haloperidol, Risperidone, Olanzapine"
assessment: autism spectrum disorder (irritability),"Risperidone, Aripiprazole, Guanfacine"
"tourette's disorder, suicidal ideation present","Haloperidol, Pimozide, Clonidine"
Social anxiety disorder - resistant to therapy,"Sertraline, Propranolol, Venlafaxine"
confirmed tourette's disorder,"Haloperidol, Pimozide, Clonidine"
nicotine dependence,"Varenicline, Bupropion, Nicotine patch"
mild nicotine dependence,"Varenicline, Bupropion, Nicotine patch"
primary insomnia,"Zolpidem, Eszopiclone, Trazodone"
dsm-5 diagnosis: narcolepsy,"Modafinil, Armodafinil, Sodium oxybate"
"post-traumatic stress disorder (ptsd), needs dosage adjustment","Sertraline, Paroxetine, Prazosin"
Restless legs syndrome - cognitive decline,"Pramipexole, Ropinirole, Gabapentin"
Alcohol dependence - agitated behavior,"Naltrexone, Acamprosate, Disulfiram"
"opioid withdrawal, experiencing hallucinations","Buprenorphine, Methadone, Clonidine"
"acute stress disorder, needs dosage adjustment","Clonazepam, Propranolol, Hydroxyzine"
Restless legs,"Pramipexole, Ropinirole, Gabapentin"
Patient presents with Body dysmorphic disorder,"Sertraline, Fluoxetine, Escitalopram"
High risk of Social anxiety disorder,"Sertraline, Propranolol, Venlafaxine"
Panic disorder,"Alprazolam, Clonazepam, Paroxetine"
History of Hoarding disorder,"Venlafaxine, Paroxetine, Sertraline"
suspected social anxiety disorder,"Sertraline, Propranolol, Venlafaxine"
Patient presents with Schizoaffective disorder,"Paliperidone, Clozapine, Haloperidol"
Social anxiety disorder - poor sleep quality,"Sertraline, Propranolol, Venlafaxine"
High risk of Bulimia nervosa,"Fluoxetine, Topiramate, Sertraline"
Chronic Restless legs syndrome,"Pramipexole, Ropinirole, Gabapentin"
Chronic Borderline personality disorder,"Lamotrigine, Aripiprazole, Fluoxetine"
schizotypal personality,"Risperidone, Olanzapine, Haloperidol"
"schizophrenia, unspecified","Risperidone, Olanzapine, Aripiprazole"
"post-traumatic stress disorder (ptsd), poor sleep quality","Sertraline, Paroxetine, Prazosin"
"adjustment disorder with depressed mood, requires hospitalization","Escitalopram, Sertraline, Bupropion"
"Major depressive disorder, single episode - experiencing hallucinations","Sertraline, Fluoxetine, Escitalopram"
