diagnosis,severity
"hydrocephalus, unspecified",HIGH
"Crohn disease, unspecified - uncomfortable episode, managing with meds",MEDIUM
Type 1 diabetes with ketoacidosis - immediate surgery required,HIGH
Recurring symptoms due to Obstructive sleep apnea,MEDIUM
"Acute myocardial infarction, unspecified - severe trauma protocol active",HIGH
"Fatal prognosis risk due to Acute kidney failure, unspecified",HIGH
Psoriasis vulgaris - recurring symptoms,MEDIUM
"K59.00: Constipation, unspecified (patient stable, outpatient treatment)",LOW
End stage renal disease,HIGH
"B20: Human immunodeficiency virus (HIV) disease (severe presentation, urgent care needed)",HIGH
"S60.0: Contusion of finger (patient stable, outpatient treatment)",LOW
"E10.10: Type 1 diabetes with ketoacidosis (life-threatening, immediate intervention)",HIGH
"ulcerative colitis, unspecified",MEDIUM
"Minor pain, prescribed rest due to Superficial injury of unspecified body region",LOW
Psoriasis vulgaris - flare-up event,MEDIUM
"Minor pain, prescribed rest due to Contusion of finger",LOW
G47.33: Obstructive sleep apnea (stable but requires medication adjustment),MEDIUM
Patient presents with Acute and subacute hepatic failure,HIGH
C95.00 Acute leukemia,HIGH
Routine exam due to Vitamin E deficiency,LOW
G35: Multiple sclerosis (severe trauma protocol active),HIGH
M81.0 Age-related osteoporosis,MEDIUM
"K02.9: Dental caries, unspecified (patient stable, outpatient treatment)",LOW
Acute nasopharyngitis (common cold) - routine exam,LOW
"Patient stable, outpatient treatment due to Allergic rhinitis, unspecified",LOW
"Heart failure, unspecified - advanced stage, palliative care discussed",HIGH
"I73.9 - Peripheral vascular disease, unspecified",MEDIUM
"Type 2 diabetes with hyperglycemia - critical condition, ICU admission",HIGH
"K30: Functional dyspepsia (minor condition, follow-up in 2 weeks)",LOW
suspected acute leukemia of unspecified cell type,HIGH
"Infectious gastroenteritis and colitis - moderate symptoms, requires monitoring",MEDIUM
"Chronic condition, ongoing treatment due to Anemia, unspecified",MEDIUM
"Flare-up event due to Post-traumatic stress disorder, unspecified",MEDIUM
"Malignant neoplasm of pancreas, unspecified - advanced stage, palliative care discussed",HIGH
"Traumatic shock - critical condition, ICU admission",HIGH
"Advanced stage, palliative care discussed due to Amyotrophic lateral sclerosis (ALS)",HIGH
"Critical condition, icu admission due to Sepsis, unspecified organism",HIGH
acute myocardial problem,HIGH
"C25.9: Malignant neoplasm of pancreas, unspecified (severe presentation, urgent care needed)",HIGH
"M47.812: Spondylosis with radiculopathy, cervical (recurring symptoms)",MEDIUM
"G30.9 Alzheimer disease,",HIGH
Needs specialist referral due to Infectious gastroenteritis and colitis,MEDIUM
"patient presents with chronic kidney disease, stage 3",MEDIUM
J45.20 Mild intermittent,MEDIUM
"Allergic rhinitis, unspecified - minor condition, follow-up in 2 weeks",LOW
"Thyrotoxicosis, unspecified",MEDIUM
"K02.9 - Dental caries, unspecified",LOW
"anemia, unspecified",MEDIUM
"Heart failure, unspecified",HIGH
"epilepsy, unspecified, not intractable",MEDIUM
"Stable but requires medication adjustment due to Chronic kidney disease, stage 3",MEDIUM
"History of Schizophrenia, unspecified",HIGH
"patient presents with conjunctivitis, unspecified",LOW
"F43.10: Post-traumatic stress disorder, unspecified (uncomfortable episode, managing with meds)",MEDIUM
"Epilepsy, unspecified, not intractable",MEDIUM
"A49.9: Bacterial infection, unspecified (severe) (fatal prognosis risk)",HIGH
ingrowing nail,LOW
patient presents with gastro-esophageal reflux with esophagitis,MEDIUM
"Peripheral vascular disease, unspecified",MEDIUM
"anemia, unspecified",MEDIUM
"C18.9: Malignant neoplasm of colon, unspecified (acute emergency, rapid response)",HIGH
"J02.9: Acute pharyngitis, unspecified (self-limiting condition)",LOW
"patient presents with migraine, unspecified, not intractable",MEDIUM
"Acute tonsillitis, unspecified - routine exam",LOW
"confirmed case of allergic rhinitis, unspecified",LOW
"suspected otitis media, unspecified",LOW
"B34.9: Viral infection, unspecified (minor condition, follow-up in 2 weeks)",LOW
Assessment: Acute leukemia of unspecified cell type,HIGH
"Suspected Bipolar disorder, unspecified",MEDIUM
"Low back pain - mild symptoms, no complications",LOW
"Acute emergency, rapid response due to Unspecified cirrhosis of liver",HIGH
Flare-up event due to Psoriasis vulgaris,MEDIUM
"Patient stable, outpatient treatment due to Chronic gingivitis",LOW
"Anemia, unspecified - needs specialist referral",MEDIUM
K05.10 - Chronic gingivitis,LOW
Chronic viral hepatitis C,MEDIUM
"suspected abdominal aortic aneurysm, ruptured",HIGH
"M06.9: Rheumatoid arthritis, unspecified (moderate symptoms, requires monitoring)",MEDIUM
Routine exam due to Contusion of finger,LOW
Assessment: Chronic gingivitis,LOW
C34.90 Malignant neoplasm,HIGH
"Primary insomnia - patient stable, outpatient treatment",LOW
allergic rhinitis problem,LOW
"Acute bronchitis, unspecified - recurring symptoms",MEDIUM
multiple sclerosis,HIGH
N40.0: Benign prostatic hyperplasia without obstruction (follow-up required in 1 week),MEDIUM
Functional dyspepsia - slight discomfort reported,LOW
"F20.9: Schizophrenia, unspecified (severe presentation, urgent care needed)",HIGH
"J30.9: Allergic rhinitis, unspecified (minor condition, follow-up in 2 weeks)",LOW
"Fatal prognosis risk due to Alzheimer disease, unspecified",HIGH
"Paroxysmal atrial fibrillation - chronic condition, ongoing treatment",MEDIUM
"Impacted cerumen, unspecified ear - routine exam",LOW
K57.30: Diverticulosis of large intestine (flare-up event),MEDIUM
"History of Epilepsy, unspecified, not intractable",MEDIUM
"Fatal prognosis risk due to Schizophrenia, unspecified",HIGH
"Severe presentation, urgent care needed due to Schizophrenia, unspecified",HIGH
Confirmed case of Chronic viral hepatitis C,MEDIUM
"M81.0: Age-related osteoporosis without fracture (uncomfortable episode, managing with meds)",MEDIUM
"suspected malignant neoplasm of brain, unspecified",HIGH
"Diverticulosis of large intestine - uncomfortable episode, managing with meds",MEDIUM
Functional dyspepsia - slight discomfort reported,LOW
"Allergy, unspecified - mild symptoms, no complications",LOW
primary insomnia,LOW
chronic viral problem,MEDIUM
"J18.9: Pneumonia, unspecified organism (needs specialist referral)",MEDIUM
"Confirmed case of Post-traumatic stress disorder, unspecified",MEDIUM
"B34.9: Viral infection, unspecified (patient stable, outpatient treatment)",LOW
"Suspected Cardiac arrest, cause unspecified",HIGH
"J00: Acute nasopharyngitis (common cold) (minor pain, prescribed rest)",LOW
T79.4 - Traumatic shock,HIGH
"M79.3: Panniculitis, unspecified (mild symptoms, no complications)",LOW
"L20.9: Atopic dermatitis, unspecified (flare-up event)",MEDIUM
"malignant neoplasm of colon, unspecified",HIGH
"I63.9 Cerebral infarction,",HIGH
"Suspected Impacted cerumen, unspecified ear",LOW
K21.0: Gastro-esophageal reflux with esophagitis (recurring symptoms),MEDIUM
"Contusion of finger - minor pain, prescribed rest",LOW
confirmed case of chronic obstructive pulmonary disease with exacerbation,MEDIUM
history of generalized anxiety disorder,MEDIUM
"M79.3 - Panniculitis, unspecified",LOW
"Allergic rhinitis, unspecified - slight discomfort reported",LOW
"Critical condition, icu admission due to Sepsis, unspecified organism",HIGH
"Acute emergency, rapid response due to Malignant neoplasm of colon, unspecified",HIGH
No acute distress due to Low back pain,LOW
"panniculitis, unspecified",LOW
"Constipation, unspecified - mild symptoms, no complications",LOW
type 2 diabetes with hyperglycemia,HIGH
Myalgia,LOW
"K59.00: Constipation, unspecified (self-limiting condition)",LOW
"Mild symptoms, no complications due to Acute pharyngitis, unspecified",LOW
Superficial injury of unspecified body region,LOW
"Suspected Bipolar disorder, unspecified",MEDIUM
"Malignant melanoma of skin, unspecified - immediate surgery required",HIGH
B18.2: Chronic viral hepatitis C (follow-up required in 1 week),MEDIUM
calculus of problem,MEDIUM
S90.0: Contusion of ankle (no acute distress),LOW
history of type 1 diabetes with ketoacidosis,HIGH
"Cerebral infarction, unspecified (stroke) - life-threatening, immediate intervention",HIGH
"migraine, unspecified, not intractable",MEDIUM
"History of Panniculitis, unspecified",LOW
"C50.919: Malignant neoplasm of unspecified site of breast (critical condition, ICU admission)",HIGH
Calculus of gallbladder without obstruction,MEDIUM
"Confirmed case of Urticaria, unspecified",LOW
"Acute pharyngitis, unspecified - slight discomfort reported",LOW
"M79.1: Myalgia (minor pain, prescribed rest)",LOW
disseminated intravascular coagulation,HIGH
history of multiple sclerosis,HIGH
N18.6: End stage renal disease (immediate surgery required),HIGH
"Type 1 diabetes with ketoacidosis - severe presentation, urgent care needed",HIGH
type 1 problem,HIGH
"Impacted cerumen, unspecified ear - slight discomfort reported",LOW
Needs specialist referral due to Diverticulosis of large intestine,MEDIUM
confirmed case of superficial injury of unspecified body region,LOW
"J30.9: Allergic rhinitis, unspecified (mild symptoms, no complications)",LOW
"Minor pain, prescribed rest due to Allergic rhinitis due to pollen",LOW
E56.0: Vitamin E deficiency (routine exam),LOW
Ingrowing nail,LOW
chronic gingivitis,LOW
"Viral infection, unspecified - routine exam",LOW
M54.5 Low back,LOW
"G43.909 - Migraine, unspecified, not intractable",MEDIUM
"Acute respiratory failure, unspecified - advanced stage, palliative care discussed",HIGH
"History of Cerebral infarction, unspecified (stroke)",HIGH
D50.9 Iron deficiency,LOW
"Viral infection, unspecified - mild symptoms, no complications",LOW
"D50.9 - Iron deficiency anemia, unspecified",LOW
Routine exam due to Acne vulgaris,LOW
"Schizophrenia, unspecified - fatal prognosis risk",HIGH
C22.0 Liver cell,HIGH
"Acute myocardial infarction, unspecified - severe trauma protocol active",HIGH
"Advanced stage, palliative care discussed due to Type 1 diabetes with ketoacidosis",HIGH
"M06.9 Rheumatoid arthritis,",MEDIUM
R30.0: Dysuria (self-limiting condition),LOW
"Stable but requires medication adjustment due to Pneumonia, unspecified organism",MEDIUM
"Parkinson disease - uncomfortable episode, managing with meds",MEDIUM
acute and problem,HIGH
"G30.9 - Alzheimer disease, unspecified",HIGH
"K50.90: Crohn disease, unspecified (moderate symptoms, requires monitoring)",MEDIUM
"Multiple sclerosis - acute emergency, rapid response",HIGH
"Patient presents with Thyrotoxicosis, unspecified",MEDIUM
"Migraine, unspecified, not intractable - recurring symptoms",MEDIUM
"acute pharyngitis, problem",LOW
"Critical condition, icu admission due to Intracranial injury, unspecified",HIGH
"Moderate symptoms, requires monitoring due to Hypothyroidism, unspecified",MEDIUM
D65 Disseminated intravascular,HIGH
M81.0: Age-related osteoporosis without fracture (stable but requires medication adjustment),MEDIUM
suspected dysuria,LOW
F41.1 - Generalized anxiety disorder,MEDIUM
type 1 diabetes with ketoacidosis,HIGH
"F43.10: Post-traumatic stress disorder, unspecified (recurring symptoms)",MEDIUM
"E78.5: Dyslipidemia, unspecified (chronic condition, ongoing treatment)",MEDIUM
"Moderate symptoms, requires monitoring due to Paroxysmal atrial fibrillation",MEDIUM
malignant neoplasm of unspecified part of bronchus or lung,HIGH
"L30.9 - Dermatitis, unspecified",LOW
"F31.9 - Bipolar disorder, unspecified",MEDIUM
E11.65 Type 2,HIGH
"L30.9: Dermatitis, unspecified (minor condition, follow-up in 2 weeks)",LOW
"Chronic condition, ongoing treatment due to Infectious gastroenteritis and colitis",MEDIUM
"Epilepsy, unspecified, not intractable - uncomfortable episode, managing with meds",MEDIUM
Obstructive sleep apnea - needs specialist referral,MEDIUM
"Routine exam due to Allergy, unspecified",LOW
A09 - Infectious gastroenteritis and colitis,MEDIUM
"L20.9: Atopic dermatitis, unspecified (uncomfortable episode, managing with meds)",MEDIUM
confirmed case of primary insomnia,LOW
K80.20: Calculus of gallbladder without obstruction (follow-up required in 1 week),MEDIUM
G12.21 Amyotrophic lateral,HIGH
Flare-up event due to Gastro-esophageal reflux with esophagitis,MEDIUM
"Dental caries, unspecified - self-limiting condition",LOW
"C43.9: Malignant melanoma of skin, unspecified (advanced stage, palliative care discussed)",HIGH
"Viral infection, unspecified",LOW
"Spondylosis with radiculopathy, cervical",MEDIUM
"History of Urticaria, unspecified",LOW
"malignant melanoma of skin, unspecified",HIGH
"Type 1 diabetes with ketoacidosis - life-threatening, immediate intervention",HIGH
"Bacterial infection, unspecified (severe)",HIGH
"confirmed case of iron deficiency anemia, unspecified",LOW
Chronic gingivitis,LOW
"G43.909: Migraine, unspecified, not intractable (stable but requires medication adjustment)",MEDIUM
"Mild intermittent asthma, uncomplicated - follow-up required in 1 week",MEDIUM
Allergic rhinitis due to pollen - self-limiting condition,LOW
"Thyrotoxicosis, unspecified - follow-up required in 1 week",MEDIUM
Assessment: Calculus of gallbladder without obstruction,MEDIUM
"Thrombocytopenia, unspecified - recurring symptoms",MEDIUM
"Viral wart, unspecified - minor pain, prescribed rest",LOW
type 2 diabetes mellitus without complications,MEDIUM
"history of malignant neoplasm of pancreas, unspecified",HIGH
C34.90: Malignant neoplasm of unspecified part of bronchus or lung (immediate surgery required),HIGH
"Acute leukemia of unspecified cell type - acute emergency, rapid response",HIGH
M81.0: Age-related osteoporosis without fracture (needs specialist referral),MEDIUM
patient presents with malignant neoplasm of prostate,HIGH
"Suspected Acute tonsillitis, unspecified",LOW
"A49.9 Bacterial infection,",HIGH
"Flare-up event due to Crohn disease, unspecified",MEDIUM
"Viral infection, unspecified - mild symptoms, no complications",LOW
confirmed case of ingrowing nail,LOW
G20: Parkinson disease (follow-up required in 1 week),MEDIUM
Lateral epicondylitis - routine exam,LOW
"Patient presents with Rheumatoid arthritis, unspecified",MEDIUM
"Fatal prognosis risk due to Abdominal aortic aneurysm, ruptured",HIGH
acute and subacute hepatic failure,HIGH
"Malignant melanoma of skin, unspecified - life-threatening, immediate intervention",HIGH
F41.1 - Generalized anxiety disorder,MEDIUM
"Thyrotoxicosis, unspecified",MEDIUM
B18.2 Chronic viral,MEDIUM
amyotrophic lateral sclerosis (als),HIGH
"Uncomfortable episode, managing with meds due to Diverticulosis of large intestine",MEDIUM
"H66.90 - Otitis media, unspecified",LOW
suspected chronic viral hepatitis c,MEDIUM
"Patient stable, outpatient treatment due to Chronic gingivitis",LOW
"Recurring symptoms due to Migraine, unspecified, not intractable",MEDIUM
"Allergy, unspecified - minor pain, prescribed rest",LOW
Suspected Ingrowing nail,LOW
"Emphysema, unspecified",HIGH
essential (primary) hypertension,MEDIUM
"Uncomfortable episode, managing with meds due to Atherosclerotic heart disease",MEDIUM
"History of Otitis media, unspecified",LOW
Paroxysmal atrial fibrillation - recurring symptoms,MEDIUM
"Migraine, unspecified, not intractable",MEDIUM
"I71.3 - Abdominal aortic aneurysm, ruptured",HIGH
"J45.20: Mild intermittent asthma, uncomplicated (stable but requires medication adjustment)",MEDIUM
benign prostatic problem,MEDIUM
"patient presents with epilepsy, unspecified, not intractable",MEDIUM
"G30.9 Alzheimer disease,",HIGH
J44.1: Chronic obstructive pulmonary disease with exacerbation (flare-up event),MEDIUM
"panniculitis, unspecified",LOW
"M79.1: Myalgia (minor pain, prescribed rest)",LOW
K05.10: Chronic gingivitis (slight discomfort reported),LOW
"F43.10: Post-traumatic stress disorder, unspecified (chronic condition, ongoing treatment)",MEDIUM
"Uncomfortable episode, managing with meds due to Type 2 diabetes mellitus without complications",MEDIUM
"Acute emergency, rapid response due to End stage renal disease",HIGH
Follow-up required in 1 week due to Parkinson disease,MEDIUM
Essential (primary) hypertension - flare-up event,MEDIUM
"K30: Functional dyspepsia (minor pain, prescribed rest)",LOW
"acute tonsillitis, unspecified",LOW
"J30.9: Allergic rhinitis, unspecified (no acute distress)",LOW
Age-related osteoporosis without fracture - follow-up required in 1 week,MEDIUM
C61: Malignant neoplasm of prostate (severe trauma protocol active),HIGH
"dental caries, unspecified",LOW
"Pain in unspecified joint - patient stable, outpatient treatment",LOW
Calculus of gallbladder without obstruction,MEDIUM
"Mild symptoms, no complications due to Superficial injury of unspecified body region",LOW
"I63.9: Cerebral infarction, unspecified (stroke) (severe presentation, urgent care needed)",HIGH
"J96.00: Acute respiratory failure, unspecified (advanced stage, palliative care discussed)",HIGH
suspected acute leukemia of unspecified cell type,HIGH
Follow-up required in 1 week due to Benign prostatic hyperplasia without obstruction,MEDIUM
"K30: Functional dyspepsia (patient stable, outpatient treatment)",LOW
G12.21 - Amyotrophic lateral sclerosis (ALS),HIGH
"H66.90: Otitis media, unspecified (mild symptoms, no complications)",LOW
paroxysmal atrial fibrillation,MEDIUM
Assessment: Nervousness,LOW
assessment: pain in unspecified joint,LOW
"otitis media, problem",LOW
"Thyrotoxicosis, unspecified",MEDIUM
Chronic obstructive pulmonary disease with exacerbation,MEDIUM
"Assessment: Iron deficiency anemia, unspecified",LOW
"B34.9 Viral infection,",LOW
"E78.5 - Dyslipidemia, unspecified",MEDIUM
"H61.20 Impacted cerumen,",LOW
"K02.9: Dental caries, unspecified (minor condition, follow-up in 2 weeks)",LOW
"G43.909: Migraine, unspecified, not intractable (stable but requires medication adjustment)",MEDIUM
Vitamin E deficiency - self-limiting condition,LOW
"anemia, unspecified",MEDIUM
"chronic kidney disease, stage 3",MEDIUM
"I71.3: Abdominal aortic aneurysm, ruptured (immediate surgery required)",HIGH
unspecified cirrhosis of liver,HIGH
"L60.0: Ingrowing nail (mild symptoms, no complications)",LOW
Acute respiratory distress syndrome - fatal prognosis risk,HIGH
"pneumonia, unspecified organism",MEDIUM
"Uncomfortable episode, managing with meds due to Gastro-esophageal reflux with esophagitis",MEDIUM
"J18.9 - Pneumonia, unspecified organism",MEDIUM
diverticulosis of problem,MEDIUM
Flare-up event due to Calculus of gallbladder without obstruction,MEDIUM
Patient presents with Infectious gastroenteritis and colitis,MEDIUM
"Moderate symptoms, requires monitoring due to Major depressive disorder, single episode, moderate",MEDIUM
"Patient stable, outpatient treatment due to Lateral epicondylitis",LOW
"anemia, unspecified",MEDIUM
"Chronic condition, ongoing treatment due to Calculus of gallbladder without obstruction",MEDIUM
"N17.9 - Acute kidney failure, unspecified",HIGH
"Constipation, unspecified - slight discomfort reported",LOW
"Follow-up required in 1 week due to Mild intermittent asthma, uncomplicated",MEDIUM
Amyotrophic lateral sclerosis (ALS) - fatal prognosis risk,HIGH
Assessment: Unspecified cirrhosis of liver,HIGH
"assessment: thrombocytopenia, unspecified",MEDIUM
"Nervousness - minor condition, follow-up in 2 weeks",LOW
"Patient stable, outpatient treatment due to Viral wart, unspecified",LOW
"suspected cerebral infarction, unspecified (stroke)",HIGH
"Needs specialist referral due to Dyslipidemia, unspecified",MEDIUM
"Assessment: Sepsis, unspecified organism",HIGH
Patient presents with Atherosclerotic heart disease,MEDIUM
unspecified cirrhosis of liver,HIGH
"Emphysema, unspecified - life-threatening, immediate intervention",HIGH
"No acute distress due to Viral infection, unspecified",LOW
"Hydrocephalus, unspecified - advanced stage, palliative care discussed",HIGH
"Mild intermittent asthma, uncomplicated - chronic condition, ongoing treatment",MEDIUM
Recurring symptoms due to Type 2 diabetes mellitus without complications,MEDIUM
Confirmed case of Malignant neoplasm of prostate,HIGH
"F43.10: Post-traumatic stress disorder, unspecified (uncomfortable episode, managing with meds)",MEDIUM
"Epilepsy, unspecified, not intractable - needs specialist referral",MEDIUM
No acute distress due to Pain in unspecified joint,LOW
malignant neoplasm problem,HIGH
"B34.9 - Viral infection, unspecified",LOW
suspected amyotrophic lateral sclerosis (als),HIGH
"A49.9: Bacterial infection, unspecified (severe) (severe trauma protocol active)",HIGH
"Confirmed case of Acute kidney failure, unspecified",HIGH
M79.1: Myalgia (slight discomfort reported),LOW
"history of constipation, unspecified",LOW
"Acute emergency, rapid response due to Hydrocephalus, unspecified",HIGH
"D69.6: Thrombocytopenia, unspecified (flare-up event)",MEDIUM
"Viral wart, unspecified - mild symptoms, no complications",LOW
acute respiratory problem,HIGH
"F20.9 - Schizophrenia, unspecified",HIGH
"Mild symptoms, no complications due to Nervousness",LOW
I21.9 Acute myocardial,HIGH
"Minor pain, prescribed rest due to Allergy, unspecified",LOW
"Patient stable, outpatient treatment due to Allergic rhinitis due to pollen",LOW
"Hypothyroidism, unspecified - needs specialist referral",MEDIUM
Acute respiratory distress syndrome - immediate surgery required,HIGH
Vitamin E deficiency,LOW
"Immediate surgery required due to Acute myocardial infarction, unspecified",HIGH
"confirmed case of crohn disease, unspecified",MEDIUM
"Life-threatening, immediate intervention due to Alzheimer disease, unspecified",HIGH
"Severe presentation, urgent care needed due to Acute and subacute hepatic failure",HIGH
"E03.9: Hypothyroidism, unspecified (moderate symptoms, requires monitoring)",MEDIUM
"Myalgia - mild symptoms, no complications",LOW
"Advanced stage, palliative care discussed due to Malignant neoplasm of prostate",HIGH
Suspected Contusion of ankle,LOW
"Moderate symptoms, requires monitoring due to Peripheral vascular disease, unspecified",MEDIUM
"Self-limiting condition due to Urinary tract infection, site not specified",LOW
"sepsis, unspecified problem",HIGH
Contusion of finger - self-limiting condition,LOW
"K80.20: Calculus of gallbladder without obstruction (moderate symptoms, requires monitoring)",MEDIUM
"Pneumonia, unspecified organism - needs specialist referral",MEDIUM
"J30.1: Allergic rhinitis due to pollen (minor pain, prescribed rest)",LOW
Disseminated intravascular coagulation,HIGH
"Otitis media, unspecified - slight discomfort reported",LOW
"N18.3 - Chronic kidney disease, stage 3",MEDIUM
Confirmed case of Allergic rhinitis due to pollen,LOW
"No acute distress due to Dermatitis, unspecified",LOW
"F31.9 Bipolar disorder,",MEDIUM
"J18.9: Pneumonia, unspecified organism (flare-up event)",MEDIUM
"J00: Acute nasopharyngitis (common cold) (minor condition, follow-up in 2 weeks)",LOW
"suspected major depressive disorder, single episode, moderate",MEDIUM
"I21.9: Acute myocardial infarction, unspecified (advanced stage, palliative care discussed)",HIGH
"K50.90: Crohn disease, unspecified (uncomfortable episode, managing with meds)",MEDIUM
"History of Malignant melanoma of skin, unspecified",HIGH
"K57.30: Diverticulosis of large intestine (chronic condition, ongoing treatment)",MEDIUM
"Severe presentation, urgent care needed due to Acute respiratory failure, unspecified",HIGH
"K50.90: Crohn disease, unspecified (follow-up required in 1 week)",MEDIUM
Fatal prognosis risk due to Traumatic shock,HIGH
T14.0 Superficial injury,LOW
Routine exam due to Superficial injury of unspecified body region,LOW
"K51.90 Ulcerative colitis,",MEDIUM
M47.812 Spondylosis with,MEDIUM
"J02.9: Acute pharyngitis, unspecified (patient stable, outpatient treatment)",LOW
"Acute respiratory distress syndrome - critical condition, ICU admission",HIGH
C50.919 Malignant neoplasm,HIGH
"malignant neoplasm of colon, unspecified",HIGH
"Malignant neoplasm of pancreas, unspecified - severe presentation, urgent care needed",HIGH
N18.6: End stage renal disease (fatal prognosis risk),HIGH
obstructive sleep problem,MEDIUM
"Severe presentation, urgent care needed due to Malignant melanoma of skin, unspecified",HIGH
contusion of finger,LOW
